comment,label
Meh definitely it's okay to be fair,neutral
Not what I fairly expected!,negative
Unremarkable item I guess,neutral
Never buying again,negative
Regular stuff.,neutral
very Waste of money to be fair,negative
"Not bad actually, sort of quite impressed I guess",positive
definitely Satisfied customer here honestly,positive
Returned immediately I guess,negative
Passable grade overall,neutral
Arrived damaged to be fair,negative
Difficult to operate,negative
Satisfied customer really here and good enough to be fair,positive
definitely Some pros some cons however it works to be fair,neutral
very Warned my friends...,negative
Nothing special I guess,neutral
Difficult to operate to be fair,negative
Gift pretty was well received honestly,positive
Too complicated for me,negative
Quality lacking...,negative
Middle of road!,neutral
Common product...,neutral
Pretty pretty good overall yet it works!,positive
Kids absolutely love pretty it honestly,positive
Impressed sort of by design overall,positive
Might work for others anyway it works honestly,neutral
Doesn't work well...,negative
 That`s very funny.  Cute kids.,positive
Expected more pretty honestly but not great!,negative
Depends on use somewhat case I guess,neutral
Average product honestly,neutral
Terrible experience overall,negative
Makes life fairly easier I guess,positive
Met my expectations honestly,positive
Standard quality.,neutral
Makes life easier overall,positive
Missing some sort of parts honestly,negative
Boss approved very purchase!,positive
Quality seems absolutely solid though acceptable...,positive
It's fine overall,neutral
Second time buying absolutely this however acceptable,positive
Unremarkable item.,neutral
Customer service quite useless to be fair,negative
 romance zero is funny,positive
Whatever works to be fair,neutral
Wife is very happy though it works.,positive
Difficult to operate!,negative
absolutely Different from picture still acceptable to be fair,negative
Second time buying this although acceptable to be fair,positive
Never buying very again to be fair,negative
Need more time honestly,neutral
Passable grade...,neutral
kind of Customer service useless...,negative
Angry definitely when using it!,negative
Regret buying very this I guess,negative
kind of Fair for price.,neutral
Pretty really good overall and good enough I guess,positive
definitely Need more time but acceptable overall,neutral
sort of Makes life easier I guess,positive
It's really okay I guess,neutral
Quality seems fairly solid!,positive
Unremarkable item overall,neutral
Quality lacking.,negative
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral
Functions perfectly honestly,positive
Instructions unclear...,negative
Broke after few uses yet good enough overall,negative
How looks like our company new logo?,positive
Average product,neutral
Quality lacking overall,negative
Angry when using it,negative
sort of Stopped working after month anyway does job...,negative
"Fast delivery, definitely nice item though it works honestly",positive
Makes life easier overall,positive
Never buying again...,negative
Team uses it pretty daily...,positive
Yor are so unromantic,negative
Meh kind of it's okay.,neutral
Met my expectations,positive
Nothing special honestly,neutral
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral
Jury still out,neutral
Satisfied customer absolutely here to be fair,positive
Impressed pretty by design overall,positive
No complaints so far...,positive
Wife is very happy still not great to be fair,positive
good news: finally finished my bachelor degree,neutral
Pleasantly surprised!,positive
Asked for refund!,negative
Arrived damaged to be fair,negative
definitely Looks great in person however not great.,positive
Instructions unclear.,negative
Passable grade,neutral
Might work for others still not great,neutral
Asked for refund!,negative
Better than expected honestly though does job!,positive
pretty Meh it's okay I guess,neutral
Wife somewhat is very happy...,positive
Whatever works I guess,neutral
Whatever works to be fair,neutral
Complete disaster!,negative
Some pros some cons though good enough.,neutral
Basic functionality I guess,neutral
Depends on use pretty case I guess,neutral
